X,Y,Z,Value
-1.0,0.0,0.0,0.986614
-1.0,0.0026041666666666665,0.0,0.0
-1.0,0.005208333333333333,0.0,0.987289
-1.0,0.0078125,0.0,0.0
-1.0,0.010416666666666666,0.0,0.98793
-1.0,0.013020833333333332,0.0,0.0
-1.0,0.015625,0.0,0.98854
-1.0,0.018229166666666664,0.0,0.0
-1.0,0.020833333333333332,0.0,0.989118
-1.0,0.0234375,0.0,0.0
-1.0,0.026041666666666664,0.0,0.989667
-1.0,0.028645833333333332,0.0,0.0
-1.0,0.03125,0.0,0.990189
-1.0,0.033854166666666664,0.0,0.0
-1.0,0.03645833333333333,0.0,0.990685
-1.0,0.0390625,0.0,0.0
-1.0,0.041666666666666664,0.0,0.991155
-1.0,0.04427083333333333,0.0,0.0
-1.0,0.046875,0.0,0.991602
-1.0,0.049479166666666664,0.0,0.0
-1.0,0.05208333333333333,0.0,0.992027
-1.0,0.0546875,0.0,0.0
-1.0,0.057291666666666664,0.0,0.99243
-1.0,0.05989583333333333,0.0,0.0
-1.0,0.0625,0.0,0.992813
-1.0,0.06510416666666666,0.0,0.0
-1.0,0.06770833333333333,0.0,0.993176
-1.0,0.0703125,0.0,0.0
-1.0,0.07291666666666666,0.0,0.993521
-1.0,0.07552083333333333,0.0,0.0
-1.0,0.078125,0.0,0.993849
-1.0,0.08072916666666666,0.0,0.0
-1.0,0.08333333333333333,0.0,0.994161
-1.0,0.0859375,0.0,0.0
-1.0,0.08854166666666666,0.0,0.994456
-1.0,0.09114583333333333,0.0,0.0
-1.0,0.09375,0.0,0.994737
-1.0,0.09635416666666666,0.0,0.0
-1.0,0.09895833333333333,0.0,0.995003
-1.0,0.1015625,0.0,0.0
-1.0,0.10416666666666666,0.0,0.995256
-1.0,0.10677083333333333,0.0,0.0
-1.0,0.109375,0.0,0.995496
-1.0,0.11197916666666666,0.0,0.0
-1.0,0.11458333333333333,0.0,0.995724
-1.0,0.1171875,0.0,0.0
-1.0,0.11979166666666666,0.0,0.995941
-1.0,0.12239583333333333,0.0,0.0
-1.0,0.125,0.0,0.996147
-1.0,0.12760416666666666,0.0,0.0
-1.0,0.13020833333333331,0.0,0.996342
-1.0,0.1328125,0.0,0.0
-1.0,0.13541666666666666,0.0,0.996527
-1.0,0.13802083333333331,0.0,0.0
-1.0,0.140625,0.0,0.996703
-1.0,0.14322916666666666,0.0,0.0
-1.0,0.14583333333333331,0.0,0.99687
-1.0,0.1484375,0.0,0.0
-1.0,0.15104166666666666,0.0,0.997029
-1.0,0.15364583333333331,0.0,0.0
-1.0,0.15625,0.0,0.997179
-1.0,0.15885416666666666,0.0,0.0
-1.0,0.16145833333333331,0.0,0.997322
-1.0,0.1640625,0.0,0.0
-1.0,0.16666666666666666,0.0,0.997458
-1.0,0.16927083333333331,0.0,0.0
-1.0,0.171875,0.0,0.997587
-1.0,0.17447916666666666,0.0,0.0
-1.0,0.17708333333333331,0.0,0.997709
-1.0,0.1796875,0.0,0.0
-1.0,0.18229166666666666,0.0,0.997825
-1.0,0.18489583333333331,0.0,0.0
-1.0,0.1875,0.0,0.997936
-1.0,0.19010416666666666,0.0,0.0
-1.0,0.19270833333333331,0.0,0.99804
-1.0,0.1953125,0.0,0.0
-1.0,0.19791666666666666,0.0,0.99814
-1.0,0.20052083333333331,0.0,0.0
-1.0,0.203125,0.0,0.998234
-1.0,0.20572916666666666,0.0,0.0
-1.0,0.20833333333333331,0.0,0.998323
-1.0,0.2109375,0.0,0.0
-1.0,0.21354166666666666,0.0,0.998408
-1.0,0.21614583333333331,0.0,0.0
-1.0,0.21875,0.0,0.998489
-1.0,0.22135416666666666,0.0,0.0
-1.0,0.22395833333333331,0.0,0.998566
-1.0,0.2265625,0.0,0.0
-1.0,0.22916666666666666,0.0,0.998639
-1.0,0.23177083333333331,0.0,0.0
-1.0,0.234375,0.0,0.998708
-1.0,0.23697916666666666,0.0,0.0
-1.0,0.23958333333333331,0.0,0.998773
-1.0,0.2421875,0.0,0.0
-1.0,0.24479166666666666,0.0,0.998835
