X,Y,Z,Value
0.0,0.0,0.0,0.99996
0.0,0.0010416666666666667,0.0,0.99996
0.0,0.0020833333333333333,0.0,0.99996
0.0,0.003125,0.0,0.99996
0.0,0.004166666666666667,0.0,0.99996
0.0,0.005208333333333333,0.0,0.99996
0.0,0.00625,0.0,0.99996
0.0,0.007291666666666667,0.0,0.99996
0.0,0.008333333333333333,0.0,0.99996
0.0,0.009375,0.0,0.99996
0.0,0.010416666666666666,0.0,0.99996
0.0,0.011458333333333333,0.0,0.99996
0.0,0.0125,0.0,0.99996
0.0,0.013541666666666667,0.0,0.99996
0.0,0.014583333333333334,0.0,0.99996
0.0,0.015625,0.0,0.99996
0.0,0.016666666666666666,0.0,0.99996
0.0,0.017708333333333333,0.0,0.99996
0.0,0.01875,0.0,0.99996
0.0,0.019791666666666666,0.0,0.99996
0.0,0.020833333333333332,0.0,0.99996
0.0,0.021875,0.0,0.99996
0.0,0.022916666666666665,0.0,0.99996
0.0,0.02395833333333333,0.0,0.99996
0.0,0.025,0.0,0.99996
0.0,0.026041666666666668,0.0,0.99996
0.0,0.027083333333333334,0.0,0.99996
0.0,0.028125,0.0,0.99996
0.0,0.029166666666666667,0.0,0.99996
0.0,0.030208333333333334,0.0,0.99996
0.0,0.03125,0.0,0.99996
0.0,0.03229166666666666,0.0,0.99996
0.0,0.03333333333333333,0.0,0.99996
0.0,0.034375,0.0,0.99996
0.0,0.035416666666666666,0.0,0.99996
0.0,0.036458333333333336,0.0,0.99996
0.0,0.0375,0.0,0.99996
0.0,0.03854166666666667,0.0,0.99996
0.0,0.03958333333333333,0.0,0.99996
0.0,0.040625,0.0,0.99996
0.0,0.041666666666666664,0.0,0.99996
0.0,0.042708333333333334,0.0,0.99996
0.0,0.04375,0.0,0.99996
0.0,0.04479166666666667,0.0,0.99996
0.0,0.04583333333333333,0.0,0.99996
0.0,0.046875,0.0,0.99996
0.0,0.04791666666666666,0.0,0.99996
0.0,0.04895833333333333,0.0,0.99996
0.0,0.05,0.0,0.99996
0.0,0.051041666666666666,0.0,0.99996
0.0,0.052083333333333336,0.0,0.99996
0.0,0.053125,0.0,0.99996
0.0,0.05416666666666667,0.0,0.99996
0.0,0.05520833333333333,0.0,0.99996
0.0,0.05625,0.0,0.99996
0.0,0.057291666666666664,0.0,0.99996
0.0,0.058333333333333334,0.0,0.99996
0.0,0.059375,0.0,0.99996
0.0,0.06041666666666667,0.0,0.99996
0.0,0.06145833333333333,0.0,0.99996
0.0,0.0625,0.0,0.99996
0.0,0.06354166666666666,0.0,0.99996
0.0,0.06458333333333333,0.0,0.99996
0.0,0.065625,0.0,0.99996
0.0,0.06666666666666667,0.0,0.99996
0.0,0.06770833333333333,0.0,0.99996
0.0,0.06875,0.0,0.99996
0.0,0.06979166666666667,0.0,0.99996
0.0,0.07083333333333333,0.0,0.99996
0.0,0.071875,0.0,0.99996
0.0,0.07291666666666667,0.0,0.99996
0.0,0.07395833333333333,0.0,0.99996
0.0,0.075,0.0,0.99996
0.0,0.07604166666666666,0.0,0.99996
0.0,0.07708333333333334,0.0,0.99996
0.0,0.078125,0.0,0.99996
0.0,0.07916666666666666,0.0,0.99996
0.0,0.08020833333333333,0.0,0.99996
0.0,0.08125,0.0,0.99996
0.0,0.08229166666666667,0.0,0.99996
0.0,0.08333333333333333,0.0,0.99996
0.0,0.084375,0.0,0.99996
0.0,0.08541666666666667,0.0,0.99996
0.0,0.08645833333333333,0.0,0.99996
0.0,0.0875,0.0,0.99996
0.0,0.08854166666666667,0.0,0.99996
0.0,0.08958333333333333,0.0,0.99996
0.0,0.090625,0.0,0.99996
0.0,0.09166666666666666,0.0,0.99996
0.0,0.09270833333333334,0.0,0.99996
0.0,0.09375,0.0,0.99996
0.0,0.09479166666666666,0.0,0.99996
