X,Y,Z,U_exact,U_approx
-1.0,0.0,0.0,1.22465e-16,1.22465e-16
-1.0,0.010416666666666666,0.0,1.22465e-16,0.0
-1.0,0.020833333333333332,0.0,1.22465e-16,0.0
-1.0,0.03125,0.0,1.22465e-16,0.0
-1.0,0.041666666666666664,0.0,1.22465e-16,0.0
-1.0,0.05208333333333333,0.0,1.22465e-16,0.0
-1.0,0.0625,0.0,1.22465e-16,0.0
-1.0,0.07291666666666666,0.0,1.22465e-16,0.0
-1.0,0.08333333333333333,0.0,1.22465e-16,0.0
-1.0,0.09375,0.0,1.22465e-16,0.0
-1.0,0.10416666666666666,0.0,1.22465e-16,0.0
-1.0,0.11458333333333333,0.0,1.22465e-16,0.0
-1.0,0.125,0.0,1.22465e-16,0.0
-1.0,0.13541666666666666,0.0,1.22465e-16,0.0
-1.0,0.14583333333333331,0.0,1.22465e-16,0.0
-1.0,0.15625,0.0,1.22465e-16,0.0
-1.0,0.16666666666666666,0.0,1.22465e-16,0.0
-1.0,0.17708333333333331,0.0,1.22465e-16,0.0
-1.0,0.1875,0.0,1.22465e-16,0.0
-1.0,0.19791666666666666,0.0,1.22465e-16,0.0
-1.0,0.20833333333333331,0.0,1.22465e-16,0.0
-1.0,0.21875,0.0,1.22465e-16,0.0
-1.0,0.22916666666666666,0.0,1.22465e-16,0.0
-1.0,0.23958333333333331,0.0,1.22465e-16,0.0
-1.0,0.25,0.0,1.22465e-16,0.0
-1.0,0.26041666666666663,0.0,1.22465e-16,0.0
-1.0,0.2708333333333333,0.0,1.22465e-16,0.0
-1.0,0.28125,0.0,1.22465e-16,0.0
-1.0,0.29166666666666663,0.0,1.22465e-16,0.0
-1.0,0.3020833333333333,0.0,1.22465e-16,0.0
-1.0,0.3125,0.0,1.22465e-16,0.0
-1.0,0.32291666666666663,0.0,1.22465e-16,0.0
-1.0,0.3333333333333333,0.0,1.22465e-16,0.0
-1.0,0.34375,0.0,1.22465e-16,0.0
-1.0,0.35416666666666663,0.0,1.22465e-16,0.0
-1.0,0.3645833333333333,0.0,1.22465e-16,0.0
-1.0,0.375,0.0,1.22465e-16,0.0
-1.0,0.38541666666666663,0.0,1.22465e-16,0.0
-1.0,0.3958333333333333,0.0,1.22465e-16,0.0
-1.0,0.40625,0.0,1.22465e-16,0.0
-1.0,0.41666666666666663,0.0,1.22465e-16,0.0
-1.0,0.4270833333333333,0.0,1.22465e-16,0.0
-1.0,0.4375,0.0,1.22465e-16,0.0
-1.0,0.44791666666666663,0.0,1.22465e-16,0.0
-1.0,0.4583333333333333,0.0,1.22465e-16,0.0
-1.0,0.46875,0.0,1.22465e-16,0.0
-1.0,0.47916666666666663,0.0,1.22465e-16,0.0
-1.0,0.4895833333333333,0.0,1.22465e-16,0.0
-1.0,0.5,0.0,1.22465e-16,0.0
-0.9583333333333334,0.0,0.0,0.130526,0.130526
-0.9583333333333334,0.010416666666666666,0.0,0.125209,0.125209
-0.9583333333333334,0.020833333333333332,0.0,0.120361,0.120361
-0.9583333333333334,0.03125,0.0,0.115918,0.115918
-0.9583333333333334,0.041666666666666664,0.0,0.111826,0.111827
-0.9583333333333334,0.05208333333333333,0.0,0.108044,0.108044
-0.9583333333333334,0.0625,0.0,0.104535,0.104535
-0.9583333333333334,0.07291666666666666,0.0,0.101267,0.101268
-0.9583333333333334,0.08333333333333333,0.0,0.0982168,0.0982169
-0.9583333333333334,0.09375,0.0,0.0953604,0.0953605
-0.9583333333333334,0.10416666666666666,0.0,0.0926792,0.0926793
-0.9583333333333334,0.11458333333333333,0.0,0.0901566,0.0901567
-0.9583333333333334,0.125,0.0,0.0877781,0.0877782
-0.9583333333333334,0.13541666666666666,0.0,0.0855312,0.0855313
-0.9583333333333334,0.14583333333333331,0.0,0.0834045,0.0834045
-0.9583333333333334,0.15625,0.0,0.0813881,0.0813882
-0.9583333333333334,0.16666666666666666,0.0,0.0794733,0.0794734
-0.9583333333333334,0.17708333333333331,0.0,0.0776522,0.0776522
-0.9583333333333334,0.1875,0.0,0.0759177,0.0759177
-0.9583333333333334,0.19791666666666666,0.0,0.0742635,0.0742635
