 1.22465e-16            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
    0.130526     0.125209     0.120361     0.115918     0.111827     0.108044     0.104535     0.101268    0.0982169    0.0953605    0.0926793    0.0901567    0.0877782    0.0855313    0.0834045    0.0813882    0.0794734    0.0776522    0.0759177    0.0742635    0.0726838    0.0711736     0.069728     0.068343    0.0670144    0.0657389    0.0645132    0.0633342    0.0621992    0.0611058    0.0600514    0.0590341    0.0580517    0.0571025    0.0561847    0.0552966    0.0544369     0.053604    0.0527967    0.0520138    0.0512541    0.0505165    0.0498001    0.0491039    0.0484269    0.0477683    0.0471275    0.0465035    0.0458957
    0.258819     0.248467     0.239004     0.230311     0.222292     0.214866     0.207967     0.201535     0.195523     0.189888     0.184595      0.17961     0.174907     0.170461      0.16625     0.162256     0.158461      0.15485     0.151409     0.148127     0.144991     0.141992      0.13912     0.136368     0.133728     0.131192     0.128754     0.126409     0.124152     0.121976     0.119877     0.117852     0.115896     0.114006     0.112178     0.110409     0.108697     0.107037     0.105429     0.103868     0.102354     0.100884    0.0994553     0.098067     0.096717    0.0954036    0.0941253    0.0928806    0.0916681
    0.382683     0.367844      0.35422     0.341658     0.330034      0.31924     0.309185     0.299794     0.290998     0.282741     0.274972     0.267646     0.260726     0.254177     0.247969     0.242074     0.236468      0.23113      0.22604     0.221181     0.216536     0.212091     0.207834      0.20375     0.199831     0.196066     0.192445      0.18896     0.185603     0.182368     0.179246     0.176232     0.173321     0.170507     0.167784     0.165149     0.162597     0.160124     0.157725     0.155399      0.15314     0.150947     0.148816     0.146744     0.144729     0.142768     0.140859        0.139     0.137189
         0.5     0.481455     0.464324     0.448446     0.433686     0.419927     0.407067     0.395018     0.383703     0.373055     0.363015     0.353531     0.344555     0.336047      0.32797     0.320291      0.31298      0.30601     0.299357     0.292999     0.286917     0.281092     0.275508     0.270149     0.265002     0.260053     0.255292     0.250707     0.246288     0.242026     0.237913      0.23394     0.230101     0.226388     0.222795     0.219315     0.215944     0.212676     0.209506      0.20643     0.203443     0.200542     0.197721     0.194979     0.192311     0.189714     0.187185     0.184722     0.182321
    0.608761      0.58748     0.567664     0.549172     0.531881     0.515678     0.500465     0.486154     0.472668     0.459937     0.447898     0.436495      0.42568     0.415406     0.405634     0.396326     0.387451     0.378977     0.370878     0.363128     0.355705     0.348589     0.341759     0.335199     0.328892     0.322823      0.31698     0.311349     0.305918     0.300676     0.295615     0.290723     0.285992     0.281415     0.276983     0.272689     0.268527     0.264491     0.260574     0.256771     0.253077     0.249487     0.245996     0.242601     0.239296     0.236078     0.232944      0.22989     0.226912
    0.707107      0.68419     0.662638     0.642355     0.623247     0.605226     0.588208     0.572119     0.556887      0.54245     0.528748     0.515729     0.503342     0.491544     0.480295     0.469557     0.459295      0.44948     0.440081     0.431074     0.422433     0.414137     0.406166     0.398499      0.39112     0.384013     0.377162     0.370553     0.364174     0.358013     0.352057     0.346297     0.340723     0.335326     0.330096     0.325027      0.32011     0.315338     0.310706     0.306205     0.301831     0.297578     0.293441     0.289414     0.285493     0.281674     0.277952     0.274324     0.270785
    0.793353     0.769965     0.747708     0.726541     0.706418     0.687287     0.669094     0.651784     0.635305     0.619607     0.604641     0.590361     0.576726     0.563695     0.551231       0.5393     0.527869     0.516909     0.506391      0.49629     0.486583     0.477246     0.468259     0.459603      0.45126     0.443213     0.435447     0.427946     0.420698     0.413689     0.406907     0.400342     0.393983     0.387821     0.381845     0.376047     0.370419     0.364954     0.359643     0.354481     0.349461     0.344576     0.339821      0.33519     0.330679     0.326282     0.321994     0.317812     0.313731
    0.866025     0.843328     0.821416     0.800316     0.780034     0.760563     0.741885     0.723977     0.706811     0.690356     0.674581     0.659453     0.644942     0.631016     0.617645     0.604801     0.592456     0.580584     0.569161     0.558163     0.547568     0.537355     0.527506        0.518     0.508822     0.499955     0.491384     0.483093      0.47507     0.467302     0.459777     0.452483      0.44541     0.438548     0.431886     0.425417     0.419132     0.413022      0.40708     0.401299     0.395673     0.390193     0.384856     0.379654     0.374582     0.369635     0.364808     0.360097     0.355496
     0.92388      0.90296     0.882414     0.862325     0.842755     0.823743     0.805312     0.787473     0.770228     0.753571     0.737493     0.721978     0.707012     0.692575     0.678648     0.665213     0.652248     0.639735     0.627654     0.615986     0.604714     0.593819     0.583285     0.573096     0.563235     0.553689     0.544443     0.535484       0.5268     0.518377     0.510205     0.502272     0.494568     0.487084      0.47981     0.472738     0.465857     0.459162     0.452643     0.446294     0.440109     0.434079     0.428199     0.422464     0.416867     0.411404     0.406068     0.400855     0.395761
    0.965926     0.947732     0.929476      0.91129     0.893277     0.875519     0.858077     0.840997     0.824312     0.808044     0.792207     0.776808     0.761849     0.747327     0.733237     0.719571      0.70632     0.693472     0.681017     0.668941     0.657233     0.645879     0.634867     0.624185     0.613819     0.603758     0.593991     0.584505     0.575289     0.566334     0.557628     0.549162     0.540926     0.532912      0.52511     0.517512      0.51011     0.502897     0.495866     0.489008     0.482318     0.475789     0.469416     0.463191      0.45711     0.451167     0.445358     0.439676     0.434119
    0.991445     0.976726     0.961539     0.946037     0.930353     0.914597     0.898863     0.883226     0.867748     0.852477     0.837451     0.822698     0.808242     0.794095      0.78027     0.766771     0.753602     0.740763      0.72825     0.716061      0.70419     0.692631     0.681377      0.67042     0.659752     0.649365     0.639251       0.6294     0.619806     0.610458      0.60135     0.592472     0.583818     0.575378     0.567147     0.559115     0.551277     0.543626     0.536154     0.528856     0.521725     0.514756     0.507942     0.501278      0.49476     0.488382     0.482138     0.476025     0.470038
           1     0.989264     0.977722     0.965528     0.952821     0.939727     0.926356     0.912805     0.899156     0.885481     0.871837     0.858275     0.844834     0.831548     0.818442     0.805537     0.792849     0.780391      0.76817     0.756193     0.744463     0.732982     0.721749     0.710764     0.700023     0.689523     0.679261     0.669232     0.659431     0.649852     0.640491     0.631341     0.622397     0.613653     0.605104     0.596743     0.588566     0.580566     0.572738     0.565077     0.557578     0.550235     0.543043     0.535998     0.529096     0.522331     0.515699     0.509197     0.502819
    0.991445     0.984925     0.977367     0.968899     0.959648     0.949734     0.939272     0.928366     0.917109     0.905586      0.89387     0.882027     0.870113     0.858175     0.846254     0.834386       0.8226     0.810919     0.799364      0.78795     0.776691     0.765598     0.754677     0.743935     0.733375     0.723001     0.712813     0.702812     0.692998     0.683369     0.673923     0.664658     0.655571     0.646659      0.63792     0.629348     0.620941     0.612695     0.604606      0.59667     0.588884     0.581244     0.573745     0.566384     0.559158     0.552063     0.545095     0.538251     0.531528
    0.965926     0.963574      0.96007     0.955502     0.949969     0.943569     0.936403     0.928569     0.920159     0.911261     0.901954     0.892311     0.882399     0.872277     0.861997     0.851605     0.841142     0.830643     0.820139     0.809656     0.799216     0.788839      0.77854     0.768334     0.758231     0.748241      0.73837     0.728626     0.719012     0.709532     0.700188     0.690982     0.681916     0.672988     0.664199     0.655549     0.647036     0.638659     0.630416     0.622305     0.614325     0.606474     0.598748     0.591147     0.583667     0.576307     0.569064     0.561935     0.554918
