 1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16  1.22465e-16
    0.130526     0.125209     0.120361     0.115918     0.111826     0.108044     0.104535     0.101267    0.0982168    0.0953604    0.0926792    0.0901566    0.0877781    0.0855312    0.0834045    0.0813881    0.0794733    0.0776522    0.0759177    0.0742635    0.0726839    0.0711737    0.0697282    0.0683431    0.0670146    0.0657391    0.0645133    0.0633343    0.0621993    0.0611058    0.0600514    0.0590339    0.0580514    0.0571019    0.0561838    0.0552954    0.0544352    0.0536018    0.0527939    0.0520102    0.0512495    0.0505109    0.0497931    0.0490953    0.0484166     0.047756    0.0471128    0.0464862    0.0458754
    0.258819     0.248467     0.239003     0.230311     0.222292     0.214866     0.207966     0.201535     0.195523     0.189888     0.184594      0.17961     0.174907     0.170461      0.16625     0.162256     0.158461      0.15485     0.151409     0.148127     0.144991     0.141992     0.139121     0.136369     0.133728     0.131192     0.128755      0.12641     0.124152     0.121976     0.119878     0.117852     0.115897     0.114006     0.112178     0.110409     0.108696     0.107036     0.105426     0.103865      0.10235     0.100878    0.0994481     0.098058    0.0967059    0.0953901    0.0941089    0.0928609    0.0916446
    0.382683     0.367844     0.354219     0.341658     0.330033     0.319239     0.309185     0.299793     0.290998     0.282741     0.274971     0.267646     0.260726     0.254177     0.247968     0.242073     0.236468      0.23113      0.22604     0.221181     0.216536     0.212092     0.207834     0.203751     0.199832     0.196067     0.192446     0.188961     0.185604     0.182369     0.179247     0.176234     0.173323     0.170508     0.167786     0.165151     0.162598     0.160125     0.157727       0.1554     0.153141     0.150948     0.148816     0.146744     0.144728     0.142766     0.140856     0.138996     0.137183
         0.5     0.481455     0.464323     0.448446     0.433686     0.419926     0.407066     0.395017     0.383702     0.373054     0.363014      0.35353     0.344554     0.336047      0.32797      0.32029     0.312979      0.30601     0.299357        0.293     0.286918     0.281093     0.275508      0.27015     0.265003     0.260054     0.255293     0.250708      0.24629     0.242028     0.237915     0.233943     0.230104     0.226391     0.222798     0.219319     0.215949     0.212681     0.209512     0.206437     0.203451      0.20055     0.197731     0.194989     0.192323     0.189727       0.1872     0.184738     0.182339
    0.608761     0.587481     0.567664     0.549172      0.53188     0.515677     0.500464     0.486153     0.472667     0.459936     0.447897     0.436494     0.425679     0.415405     0.405633     0.396326     0.387451     0.378977     0.370878     0.363128     0.355706     0.348589     0.341759     0.335199     0.328893     0.322825     0.316981      0.31135      0.30592     0.300679     0.295617     0.290726     0.285996     0.281419     0.276987     0.272694     0.268533     0.264497     0.260581      0.25678     0.253087     0.249498     0.246009     0.242616     0.239313     0.236098     0.232967     0.229916     0.226942
    0.707107      0.68419     0.662638     0.642355     0.623247     0.605225     0.588207     0.572118     0.556886     0.542449     0.528747     0.515727     0.503341     0.491543     0.480294     0.469556     0.459294     0.449479     0.440081     0.431074     0.422434     0.414138     0.406166       0.3985     0.391121     0.384014     0.377164     0.370555     0.364176     0.358015      0.35206       0.3463     0.340726     0.335329       0.3301     0.325031     0.320114     0.315343     0.310711     0.306211     0.301838     0.297586     0.293449     0.289424     0.285505     0.281687     0.277968     0.274342     0.270806
    0.793353     0.769966     0.747708     0.726541     0.706418     0.687286     0.669092     0.651783     0.635304     0.619605     0.604639     0.590359     0.576724     0.563693     0.551229     0.539298     0.527868     0.516908      0.50639      0.49629     0.486583     0.477246      0.46826     0.459604     0.451261     0.443215     0.435448     0.427948       0.4207     0.413691      0.40691     0.400345     0.393986     0.387823     0.381847      0.37605     0.370422     0.364956     0.359645     0.354483     0.349462     0.344577     0.339822     0.335191     0.330679     0.326282     0.321994     0.317812     0.313731
    0.866025     0.843329     0.821417     0.800316     0.780033     0.760561     0.741883     0.723975     0.706808     0.690353     0.674578     0.659451     0.644939     0.631013     0.617643     0.604799     0.592454     0.580582     0.569159     0.558162     0.547567     0.537355     0.527505     0.518001     0.508823     0.499956     0.491385     0.483095     0.475072     0.467305     0.459779     0.452486     0.445413      0.43855     0.431889      0.42542     0.419134     0.413024     0.407081       0.4013     0.395672     0.390191     0.384852     0.379649     0.374575     0.369626     0.364796     0.360082     0.355478
     0.92388     0.902961     0.882414     0.862325     0.842754     0.823742      0.80531      0.78747     0.770225     0.753568     0.737489     0.721974     0.707008     0.692571     0.678644     0.665209     0.652244     0.639732     0.627651     0.615984     0.604712     0.593817     0.583284     0.573095     0.563235     0.553689     0.544444     0.535485     0.526801     0.518378     0.510206     0.502274     0.494571     0.487087     0.479813      0.47274      0.46586     0.459164     0.452645     0.446296     0.440109     0.434079     0.428198     0.422461     0.416862     0.411396     0.406057     0.400841     0.395743
    0.965926     0.947732     0.929477      0.91129     0.893276     0.875517     0.858074     0.840994     0.824308     0.808039     0.792202     0.776803     0.761843     0.747321     0.733231     0.719565     0.706314     0.693467     0.681011     0.668936     0.657228     0.645875     0.634863     0.624181     0.613816     0.603756     0.593988     0.584503     0.575287     0.566332     0.557627     0.549161     0.540926     0.532912      0.52511     0.517513     0.510112     0.502899     0.495867      0.48901      0.48232     0.475791     0.469417     0.463192      0.45711     0.451166     0.445355     0.439672     0.434112
    0.991445     0.976726     0.961539     0.946037     0.930352     0.914595      0.89886     0.883222     0.867743     0.852471     0.837444     0.822691     0.808233     0.794087     0.780261     0.766762     0.753593     0.740753     0.728241     0.716052     0.704181     0.692622     0.681368     0.670411     0.659744     0.649357     0.639243     0.629393     0.619798     0.610451     0.601343     0.592466     0.583811     0.575372     0.567141      0.55911     0.551272     0.543621     0.536149     0.528852     0.521721     0.514753      0.50794     0.501277     0.494759     0.488382     0.482139     0.476027     0.470041
           1     0.989264     0.977723     0.965528     0.952821     0.939726     0.926353     0.912801     0.899151     0.885474     0.871829     0.858265     0.844823     0.831535     0.818428     0.805523     0.792834     0.780375     0.768154     0.756177     0.744447     0.732966     0.721733     0.710747     0.700006     0.689507     0.679244     0.669215     0.659413     0.649835     0.640473     0.631323     0.622379     0.613635     0.605085     0.596724     0.588546     0.580546     0.572718     0.565057     0.557558     0.550215     0.543025     0.535981     0.529079     0.522316     0.515686     0.509186     0.502811
    0.991445     0.984926     0.977368       0.9689     0.959648     0.949733      0.93927     0.928362     0.917103     0.905578      0.89386     0.882015     0.870098     0.858158     0.846235     0.834366     0.822578     0.810895     0.799339     0.787924     0.776664      0.76557     0.754648     0.743905     0.733344     0.722969     0.712781     0.702779     0.692964     0.683334     0.673887     0.664621     0.655534     0.646621      0.63788     0.629307     0.620899     0.612651     0.604561     0.596625     0.588837     0.581196     0.573697     0.566336      0.55911     0.552015     0.545048     0.538205     0.531483
    0.965926     0.963574      0.96007     0.955503      0.94997     0.943569     0.936402     0.928566     0.920154     0.911252     0.901942     0.892296     0.882381     0.872256     0.861972     0.851577     0.841111     0.830609     0.820102     0.809616     0.799174     0.788794     0.778494     0.768285      0.75818     0.748187     0.738315     0.728569     0.718953     0.709471     0.700125     0.690918     0.681849      0.67292     0.664129     0.655477     0.646961     0.638582     0.630337     0.622224     0.614242     0.606389     0.598661     0.591058     0.583576     0.576214     0.568969     0.561839     0.554821
     0.92388     0.925369     0.925714     0.924957     0.923153      0.92037      0.91668     0.912161     0.906893     0.900953     0.894418      0.88736     0.879847     0.871944     0.863707     0.855192     0.846445     0.837512      0.82843     0.819236     0.809959     0.800628     0.791265     0.781893      0.77253     0.763192     0.753892     0.744642     0.735454     0.726334     0.717292     0.708332     0.699461     0.690682     0.681998     0.673413     0.664929     0.656547     0.648268     0.640093     0.632023     0.624057     0.616195     0.608438     0.600783     0.593232     0.585783     0.578434     0.571186
    0.866025     0.870781     0.874504     0.877192      0.87886     0.879533     0.879253     0.878066     0.876029     0.873198     0.869637     0.865408     0.860571     0.855186     0.849312     0.843003     0.836309      0.82928     0.821957     0.814384     0.806595     0.798626     0.790507     0.782266     0.773927     0.765513     0.757044     0.748538     0.740011     0.731477     0.722949     0.714437     0.705953     0.697503     0.689097      0.68074     0.672439     0.664198     0.656022     0.647914     0.639879     0.631918     0.624034     0.616229     0.608504     0.600861       0.5933     0.585824     0.578431
    0.793353     0.800595     0.806991     0.812505     0.817114      0.82081     0.823595     0.825486     0.826507      0.82669     0.826075     0.824706     0.822628      0.81989     0.816541      0.81263     0.808204     0.803309     0.797991     0.792291     0.786249     0.779902     0.773285      0.76643     0.759368     0.752126     0.744728       0.7372      0.72956      0.72183     0.714027     0.706167     0.698264     0.690333     0.682384     0.674429     0.666477     0.658539      0.65062      0.64273     0.634873     0.627057     0.619286     0.611564     0.603896     0.596286     0.588737     0.581251     0.573831
    0.707107      0.71591     0.724093     0.731598     0.738377     0.744395     0.749625     0.754051     0.757671     0.760488     0.762514     0.763771     0.764285     0.764084     0.763205     0.761682     0.759555     0.756862     0.753642     0.749935     0.745779     0.741209     0.736262     0.730972     0.725372     0.719491     0.713359     0.707003     0.700448     0.693718     0.686836     0.679821     0.672692     0.665468     0.658164     0.650796     0.643377     0.635921     0.628438     0.620939     0.613435     0.605934     0.598445     0.590974     0.583529     0.576117     0.568741     0.561409     0.554123
    0.608761     0.618131     0.627103     0.635614     0.643606     0.651027     0.657832     0.663985     0.669458     0.674232     0.678295     0.681645     0.684286     0.686227     0.687484     0.688079     0.688034     0.687377     0.686138     0.684346     0.682035     0.679237     0.675984     0.672308     0.668241     0.663815     0.659058        0.654     0.648668     0.643089     0.637287     0.631286     0.625109     0.618776     0.612307      0.60572     0.599032      0.59226     0.585419     0.578521     0.571581     0.564609     0.557617     0.550615     0.543612     0.536617     0.529636     0.522679      0.51575
         0.5     0.508944      0.51768     0.526149     0.534294     0.542062       0.5494     0.556263     0.562611     0.568408     0.573626     0.578247     0.582253      0.58564     0.588404      0.59055     0.592086     0.593027     0.593389     0.593192      0.59246     0.591217     0.589489     0.587304     0.584689     0.581672     0.578281     0.574544     0.570488     0.566139     0.561522     0.556663     0.551585     0.546309     0.540859     0.535252      0.52951     0.523649     0.517687     0.511638     0.505519     0.499342      0.49312     0.486865     0.480587     0.474298     0.468006     0.461719     0.455445
    0.382683     0.390295     0.397831     0.405245     0.412491     0.419522     0.426291     0.432754      0.43887     0.444599     0.449907     0.454766     0.459151     0.463044     0.466432     0.469306     0.471664     0.473507     0.474842     0.475677     0.476027     0.475906     0.475332     0.474327     0.472911     0.471106     0.468936     0.466425     0.463595     0.460471     0.457075      0.45343     0.449558     0.445481     0.441218     0.436789     0.432213     0.427507     0.422687      0.41777      0.41277     0.407701     0.402574     0.397403     0.392198      0.38697     0.381727     0.376478     0.371232
