0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999
0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999993 0.999993 0.999993 0.999993 0.999993 0.999992 0.999992 0.999992 0.999992 0.999991 0.999991 0.999991  0.99999  0.99999  0.99999  0.99999 0.999989 0.999989 0.999989 0.999988 0.999988 0.999987 0.999987 0.999987 0.999986 0.999986 0.999985 0.999985 0.999984 0.999984 0.999983 0.999983 0.999982 0.999981 0.999981  0.99998  0.99998 0.999979 0.999978 0.999978 0.999977 0.999976 0.999975 0.999974 0.999974 0.999973 0.999972 0.999971  0.99997 0.999969 0.999968 0.999967 0.999966 0.999965 0.999963 0.999962 0.999961  0.99996 0.999958 0.999957 0.999955 0.999954 0.999952 0.999951 0.999949 0.999948 0.999946 0.999944 0.999942  0.99994 0.999938 0.999936 0.999934 0.999932  0.99993 0.999927 0.999925 0.999922  0.99992 0.999917 0.999914 0.999911 0.999908 0.999905 0.999902 0.999899 0.999896 0.999892 0.999888 0.999885 0.999881 0.999877 0.999873 0.999868 0.999864  0.99986 0.999855  0.99985 0.999845  0.99984 0.999834 0.999829 0.999823 0.999817 0.999811 0.999805 0.999798 0.999792 0.999785 0.999777  0.99977 0.999762 0.999754 0.999746 0.999738 0.999729  0.99972  0.99971 0.999701 0.999691  0.99968  0.99967 0.999659 0.999647 0.999635 0.999623 0.999611 0.999598 0.999584  0.99957 0.999556 0.999541
0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999993 0.999993 0.999993 0.999993 0.999993 0.999992 0.999992 0.999992 0.999992 0.999991 0.999991 0.999991 0.999991  0.99999  0.99999  0.99999 0.999989 0.999989 0.999989 0.999988 0.999988 0.999988 0.999987 0.999987 0.999986 0.999986 0.999985 0.999985 0.999985 0.999984 0.999984 0.999983 0.999982 0.999982 0.999981 0.999981  0.99998 0.999979 0.999979 0.999978 0.999977 0.999977 0.999976 0.999975 0.999974 0.999973 0.999973 0.999972 0.999971  0.99997 0.999969 0.999968 0.999967 0.999966 0.999965 0.999963 0.999962 0.999961  0.99996 0.999958 0.999957 0.999955 0.999954 0.999953 0.999951 0.999949 0.999948 0.999946 0.999944 0.999942  0.99994 0.999938 0.999936 0.999934 0.999932  0.99993 0.999927 0.999925 0.999923  0.99992 0.999917 0.999915 0.999912 0.999909 0.999906 0.999903 0.999899 0.999896 0.999893 0.999889 0.999885 0.999881 0.999877 0.999873 0.999869 0.999865  0.99986 0.999856 0.999851 0.999846 0.999841 0.999835  0.99983 0.999824 0.999818 0.999812 0.999806   0.9998 0.999793 0.999786 0.999779 0.999771 0.999764 0.999756 0.999748 0.999739 0.999731 0.999722 0.999712 0.999703 0.999693 0.999683 0.999672 0.999661  0.99965 0.999638 0.999626 0.999613   0.9996 0.999587 0.999573 0.999559
0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999993 0.999993 0.999993 0.999993 0.999992 0.999992 0.999992 0.999992 0.999992 0.999991 0.999991 0.999991  0.99999  0.99999  0.99999  0.99999 0.999989 0.999989 0.999989 0.999988 0.999988 0.999987 0.999987 0.999987 0.999986 0.999986 0.999985 0.999985 0.999984 0.999984 0.999983 0.999983 0.999982 0.999982 0.999981  0.99998  0.99998 0.999979 0.999979 0.999978 0.999977 0.999976 0.999976 0.999975 0.999974 0.999973 0.999972 0.999971  0.99997 0.999969 0.999968 0.999967 0.999966 0.999965 0.999964 0.999963 0.999962  0.99996 0.999959 0.999958 0.999956 0.999955 0.999953 0.999952  0.99995 0.999949 0.999947 0.999945 0.999943 0.999941  0.99994 0.999938 0.999935 0.999933 0.999931 0.999929 0.999926 0.999924 0.999921 0.999919 0.999916 0.999913  0.99991 0.999908 0.999904 0.999901 0.999898 0.999895 0.999891 0.999887 0.999884  0.99988 0.999876 0.999872 0.999867 0.999863 0.999858 0.999854 0.999849 0.999844 0.999839 0.999833 0.999828 0.999822 0.999816  0.99981 0.999803 0.999797  0.99979 0.999783 0.999776 0.999768 0.999761 0.999753 0.999744 0.999736 0.999727 0.999718 0.999708 0.999699 0.999689 0.999678 0.999667 0.999656 0.999645 0.999633 0.999621 0.999608 0.999595 0.999581 0.999567 0.999553 0.999538 0.999523 0.999507  0.99949 0.999473
0.999998 0.999998 0.999998 0.999998 0.999998 0.999998 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999993 0.999993 0.999993 0.999993 0.999993 0.999993 0.999992 0.999992 0.999992 0.999992 0.999991 0.999991 0.999991 0.999991  0.99999  0.99999  0.99999 0.999989 0.999989 0.999989 0.999988 0.999988 0.999988 0.999987 0.999987 0.999986 0.999986 0.999986 0.999985 0.999985 0.999984 0.999984 0.999983 0.999983 0.999982 0.999981 0.999981  0.99998  0.99998 0.999979 0.999978 0.999978 0.999977 0.999976 0.999975 0.999975 0.999974 0.999973 0.999972 0.999971  0.99997 0.999969 0.999968 0.999967 0.999966 0.999965 0.999964 0.999963 0.999962  0.99996 0.999959 0.999958 0.999956 0.999955 0.999953 0.999952  0.99995 0.999949 0.999947 0.999945 0.999943 0.999941  0.99994 0.999938 0.999935 0.999933 0.999931 0.999929 0.999926 0.999924 0.999922 0.999919 0.999916 0.999913 0.999911 0.999908 0.999905 0.999901 0.999898 0.999895 0.999891 0.999888 0.999884  0.99988 0.999876 0.999872 0.999868 0.999863 0.999859 0.999854 0.999849 0.999844 0.999839 0.999834 0.999828 0.999822 0.999816  0.99981 0.999804 0.999797 0.999791 0.999784 0.999776 0.999769 0.999761 0.999753 0.999745 0.999737 0.999728 0.999719 0.999709   0.9997  0.99969 0.999679 0.999669 0.999657 0.999646 0.999634 0.999622 0.999609 0.999596 0.999583 0.999569 0.999555  0.99954 0.999524 0.999509 0.999492 0.999475 0.999458
0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999993 0.999993 0.999993 0.999993 0.999993 0.999992 0.999992 0.999992 0.999992 0.999992 0.999991 0.999991 0.999991  0.99999  0.99999  0.99999  0.99999 0.999989 0.999989 0.999989 0.999988 0.999988 0.999988 0.999987 0.999987 0.999986 0.999986 0.999985 0.999985 0.999985 0.999984 0.999984 0.999983 0.999983 0.999982 0.999981 0.999981  0.99998  0.99998 0.999979 0.999978 0.999978 0.999977 0.999976 0.999975 0.999974 0.999974 0.999973 0.999972 0.999971  0.99997 0.999969 0.999968 0.999967 0.999966 0.999965 0.999964 0.999963 0.999961  0.99996 0.999959 0.999957 0.999956 0.999955 0.999953 0.999951  0.99995 0.999948 0.999947 0.999945 0.999943 0.999941 0.999939 0.999937 0.999935 0.999933 0.999931 0.999928 0.999926 0.999924 0.999921 0.999918 0.999916 0.999913  0.99991 0.999907 0.999904 0.999901 0.999897 0.999894  0.99989 0.999887 0.999883 0.999879 0.999875 0.999871 0.999867 0.999862 0.999858 0.999853 0.999848 0.999843 0.999838 0.999832 0.999827 0.999821 0.999815 0.999809 0.999803 0.999796 0.999789 0.999782 0.999775 0.999767  0.99976 0.999752 0.999743 0.999735 0.999726 0.999717 0.999707 0.999697 0.999687 0.999677 0.999666 0.999655 0.999644 0.999632 0.999619 0.999607 0.999594  0.99958 0.999566 0.999551 0.999537 0.999521 0.999505 0.999489 0.999472 0.999454 0.999436 0.999417 0.999398 0.999377 0.999357
0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999997 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999993 0.999993 0.999993 0.999993 0.999993 0.999992 0.999992 0.999992 0.999992 0.999991 0.999991 0.999991 0.999991  0.99999  0.99999  0.99999  0.99999 0.999989 0.999989 0.999989 0.999988 0.999988 0.999988 0.999987 0.999987 0.999986 0.999986 0.999986 0.999985 0.999985 0.999984 0.999984 0.999983 0.999983 0.999982 0.999982 0.999981  0.99998  0.99998 0.999979 0.999978 0.999978 0.999977 0.999976 0.999976 0.999975 0.999974 0.999973 0.999972 0.999971  0.99997 0.999969 0.999968 0.999967 0.999966 0.999965 0.999964 0.999963 0.999962 0.999961 0.999959 0.999958 0.999957 0.999955 0.999954 0.999952 0.999951 0.999949 0.999947 0.999946 0.999944 0.999942  0.99994 0.999938 0.999936 0.999934 0.999932  0.99993 0.999927 0.999925 0.999922  0.99992 0.999917 0.999914 0.999912 0.999909 0.999906 0.999903 0.999899 0.999896 0.999892 0.999889 0.999885 0.999881 0.999877 0.999873 0.999869 0.999865  0.99986 0.999856 0.999851 0.999846 0.999841 0.999836  0.99983 0.999824 0.999819 0.999813 0.999806   0.9998 0.999793 0.999786 0.999779 0.999772 0.999764 0.999756 0.999748  0.99974 0.999731 0.999722 0.999713 0.999703 0.999694 0.999683 0.999673 0.999662 0.999651 0.999639 0.999627 0.999615 0.999602 0.999588 0.999575 0.999561 0.999546 0.999531 0.999515 0.999499 0.999482 0.999465 0.999447 0.999429  0.99941  0.99939  0.99937 0.999349 0.999327 0.999305
0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999993 0.999993 0.999993 0.999993 0.999993 0.999993 0.999992 0.999992 0.999992 0.999992 0.999991 0.999991 0.999991 0.999991  0.99999  0.99999  0.99999  0.99999 0.999989 0.999989 0.999989 0.999988 0.999988 0.999988 0.999987 0.999987 0.999986 0.999986 0.999986 0.999985 0.999985 0.999984 0.999984 0.999983 0.999983 0.999982 0.999982 0.999981  0.99998  0.99998 0.999979 0.999979 0.999978 0.999977 0.999976 0.999976 0.999975 0.999974 0.999973 0.999972 0.999972 0.999971  0.99997 0.999969 0.999968 0.999967 0.999966 0.999964 0.999963 0.999962 0.999961  0.99996 0.999958 0.999957 0.999955 0.999954 0.999953 0.999951 0.999949 0.999948 0.999946 0.999944 0.999942 0.999941 0.999939 0.999937 0.999934 0.999932  0.99993 0.999928 0.999925 0.999923  0.99992 0.999918 0.999915 0.999912 0.999909 0.999906 0.999903   0.9999 0.999897 0.999893  0.99989 0.999886 0.999882 0.999878 0.999874  0.99987 0.999866 0.999861 0.999857 0.999852 0.999847 0.999842 0.999837 0.999831 0.999826  0.99982 0.999814 0.999808 0.999801 0.999795 0.999788 0.999781 0.999774 0.999766 0.999758  0.99975 0.999742 0.999733 0.999724 0.999715 0.999706 0.999696 0.999686 0.999675 0.999664 0.999653 0.999642  0.99963 0.999617 0.999605 0.999591 0.999578 0.999564 0.999549 0.999534 0.999519 0.999503 0.999486 0.999469 0.999451 0.999433 0.999414 0.999395 0.999374 0.999354 0.999332  0.99931 0.999287 0.999263 0.999239 0.999213 0.999187
0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999996 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999993 0.999993 0.999993 0.999993 0.999993 0.999993 0.999992 0.999992 0.999992 0.999992 0.999992 0.999991 0.999991 0.999991 0.999991  0.99999  0.99999  0.99999  0.99999 0.999989 0.999989 0.999989 0.999988 0.999988 0.999988 0.999987 0.999987 0.999987 0.999986 0.999986 0.999985 0.999985 0.999984 0.999984 0.999983 0.999983 0.999982 0.999982 0.999981 0.999981  0.99998 0.999979 0.999979 0.999978 0.999977 0.999977 0.999976 0.999975 0.999975 0.999974 0.999973 0.999972 0.999971  0.99997 0.999969 0.999968 0.999967 0.999966 0.999965 0.999964 0.999963 0.999962  0.99996 0.999959 0.999958 0.999956 0.999955 0.999954 0.999952  0.99995 0.999949 0.999947 0.999945 0.999944 0.999942  0.99994 0.999938 0.999936 0.999934 0.999932 0.999929 0.999927 0.999925 0.999922  0.99992 0.999917 0.999914 0.999911 0.999909 0.999906 0.999902 0.999899 0.999896 0.999892 0.999889 0.999885 0.999881 0.999877 0.999873 0.999869 0.999865  0.99986 0.999856 0.999851 0.999846 0.999841 0.999836  0.99983 0.999825 0.999819 0.999813 0.999806   0.9998 0.999793 0.999786 0.999779 0.999772 0.999764 0.999757 0.999748  0.99974 0.999731 0.999723 0.999713 0.999704 0.999694 0.999684 0.999673 0.999662 0.999651 0.999639 0.999627 0.999615 0.999602 0.999589 0.999575 0.999561 0.999546 0.999531 0.999516   0.9995 0.999483 0.999466 0.999448  0.99943 0.999411 0.999391 0.999371  0.99935 0.999328 0.999306 0.999283 0.999259 0.999234 0.999209 0.999183 0.999155 0.999127 0.999098
0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999995 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999994 0.999993 0.999993 0.999993 0.999993 0.999993 0.999993 0.999993 0.999992 0.999992 0.999992 0.999992 0.999992 0.999991 0.999991 0.999991 0.999991  0.99999  0.99999  0.99999  0.99999 0.999989 0.999989 0.999989 0.999988 0.999988 0.999988 0.999987 0.999987 0.999987 0.999986 0.999986 0.999985 0.999985 0.999984 0.999984 0.999984 0.999983 0.999983 0.999982 0.999981 0.999981  0.99998  0.99998 0.999979 0.999978 0.999978 0.999977 0.999976 0.999976 0.999975 0.999974 0.999973 0.999972 0.999971 0.999971  0.99997 0.999969 0.999968 0.999967 0.999966 0.999964 0.999963 0.999962 0.999961  0.99996 0.999958 0.999957 0.999956 0.999954 0.999953 0.999951  0.99995 0.999948 0.999946 0.999944 0.999943 0.999941 0.999939 0.999937 0.999935 0.999933  0.99993 0.999928 0.999926 0.999923 0.999921 0.999918 0.999916 0.999913  0.99991 0.999907 0.999904 0.999901 0.999897 0.999894 0.999891 0.999887 0.999883 0.999879 0.999875 0.999871 0.999867 0.999863 0.999858 0.999853 0.999848 0.999843 0.999838 0.999833 0.999827 0.999821 0.999816 0.999809 0.999803 0.999797  0.99979 0.999783 0.999776 0.999768  0.99976 0.999752 0.999744 0.999736 0.999727 0.999718 0.999708 0.999699 0.999689 0.999678 0.999668 0.999657 0.999645 0.999633 0.999621 0.999608 0.999595 0.999582 0.999568 0.999554 0.999539 0.999523 0.999507 0.999491 0.999474 0.999457 0.999439  0.99942 0.999401 0.999381  0.99936 0.999339 0.999317 0.999294 0.999271 0.999246 0.999221 0.999195 0.999169 0.999141 0.999113 0.999083 0.999053 0.999021 0.998989 0.998955
